x1,H1bar - H1,H2bar - H2
0.0,-2.6801125798881404,-0.0
0.05,-2.4756372753604965,-0.0051297195669301856
0.1,-2.2854878717655507,-0.020608223938451815
0.15,-2.088457407102059,-0.048862336159705116
0.2,-1.8876751091060227,-0.09151298792715526
0.25,-1.6971402513813982,-0.14678722895838794
0.3,-1.5322211950161297,-0.2091772878119881
0.35,-1.403604175472894,-0.2708312439469409
0.4,-1.314176394544029,-0.32415987081098835
0.45,-1.2583279771600622,-0.3651442097473783
0.5,-1.2231573528412796,-0.3968284345094434
0.55,-1.1910646215817808,-0.4324825661724435
0.6,-1.1432174639554364,-0.4979195982321097
0.65,-1.0633741552332048,-0.632451591679325
0.7,-0.9415482433012308,-0.8879692998403773
0.75,-0.7769994501691667,-1.3256298827722248
0.8,-0.5800353568581538,-2.0096372710021995
0.85,-0.37210843145789585,-2.9975997384015938
0.9,-0.1836929601422611,-4.32694924398258
0.95,-0.049426440932857064,-5.996907102407847
1.0,-0.0,-7.945480543002477
