species_i,species_j,formula_i,formula_j,kij
methane,ethylene,CH4,C2H4,0.022
methane,ethane,CH4,C2H6,-0.003
methane,propylene,CH4,C3H6,0.033
methane,propane,CH4,C3H8,0.016
methane,isobutane,CH4,i-C4H10,0.026
methane,n-butane,CH4,n-C4H10,0.019
methane,isopentane,CH4,i-C5H12,-0.006
methane,n-pentane,CH4,n-C5H12,0.026
methane,n-hexane,CH4,n-C6H14,0.04
methane,benzene,CH4,C6H6,0.055
methane,cyclohexane,CH4,c-C6H12,0.039
methane,n-heptane,CH4,n-C7H16,0.035
methane,n-octane,CH4,n-C8H18,0.05
methane,n-decane,CH4,n-C10H22,0.049
methane,nitrogen,CH4,N2,0.03
methane,carbon monoxide,CH4,CO,0.03
methane,carbon dioxide,CH4,CO2,0.09
methane,sulfur dioxide,CH4,SO2,0.136
methane,hydrogen sulfide,CH4,H2S,0.08
ethylene,ethane,C2H4,C2H6,0.01
ethylene,n-butane,C2H4,n-C4H10,0.092
ethylene,benzene,C2H4,C6H6,0.031
ethylene,n-heptane,C2H4,n-C7H16,0.014
ethylene,n-decane,C2H4,n-C10H22,0.025
ethylene,nitrogen,C2H4,N2,0.086
ethylene,carbon monoxide,C2H4,CO,-0.022
ethylene,carbon dioxide,C2H4,CO2,0.056
ethane,propylene,C2H6,C3H6,0.089
ethane,propane,C2H6,C3H8,0.001
ethane,isobutane,C2H6,i-C4H10,-0.007
ethane,n-butane,C2H6,n-C4H10,0.01
ethane,n-pentane,C2H6,n-C5H12,0.008
ethane,n-hexane,C2H6,n-C6H14,-0.04
ethane,benzene,C2H6,C6H6,0.042
ethane,cyclohexane,C2H6,c-C6H12,0.018
ethane,n-heptane,C2H6,n-C7H16,0.007
ethane,n-octane,C2H6,n-C8H18,0.019
ethane,n-decane,C2H6,n-C10H22,0.014
ethane,nitrogen,C2H6,N2,0.044
ethane,carbon monoxide,C2H6,CO,0.026
ethane,carbon dioxide,C2H6,CO2,0.13
ethane,hydrogen sulfide,C2H6,H2S,0.086
propylene,propane,C3H6,C3H8,0.007
propylene,isobutane,C3H6,i-C4H10,-0.014
propylene,nitrogen,C3H6,N2,0.09
propylene,carbon monoxide,C3H6,CO,0.026
propylene,carbon dioxide,C3H6,CO2,0.093
propylene,hydrogen sulfide,C3H6,H2S,0.08
propane,isobutane,C3H8,i-C4H10,-0.007
propane,n-butane,C3H8,n-C4H10,0.003
propane,isopentane,C3H8,i-C5H12,0.011
propane,n-pentane,C3H8,n-C5H12,0.027
propane,n-hexane,C3H8,n-C6H14,0.001
propane,benzene,C3H8,C6H6,0.023
propane,n-heptane,C3H8,n-C7H16,0.006
propane,n-octane,C3H8,n-C8H18,0.0
propane,n-decane,C3H8,n-C10H22,0.0
propane,nitrogen,C3H8,N2,0.078
propane,carbon monoxide,C3H8,CO,0.03
propane,carbon dioxide,C3H8,CO2,0.12
propane,hydrogen sulfide,C3H8,H2S,0.08
isobutane,n-butane,i-C4H10,n-C4H10,0.0
isobutane,nitrogen,i-C4H10,N2,0.1
isobutane,carbon monoxide,i-C4H10,CO,0.04
isobutane,carbon dioxide,i-C4H10,CO2,0.13
isobutane,hydrogen sulfide,i-C4H10,H2S,0.047
n-butane,n-pentane,n-C4H10,n-C5H12,0.017
n-butane,n-hexane,n-C4H10,n-C6H14,-0.006
n-butane,n-heptane,n-C4H10,n-C7H16,0.003
n-butane,n-octane,n-C4H10,n-C8H18,0.007
