Name,DG,DH,A,B,C,D,E,ID
"Al",0,0,20.084,1.347,0,0,0,1
"Al2O3",-1576.9,-1669.8,95.39700000000001,3.754,0,0,-2186192.3,2
"Br2(g)",3.9,31.3,33.686,1.03,-0.89,2.68,0,3
"C",0,0,11.184,1.095,0,0,-489121.3,4
"CH4",-50.5,-74.5,19.875,5.021,1.268,-11.004,0,5
"C2H2",210,227.5,21.799,9.208,-6.523,18.197,0,6
"C2H4",68.5,52.5,3.95,15.628,-8.339,17.657,0,7
"C2H6",-31.9,-83.8,6.895,17.255,-6.402,7.28,0,8
"C3H8",-24.3,-104.7,-4.042,30.456,-15.711,31.716,0,10
"C4H6",149.8,109.2,-5.397,34.937,-23.356,59.582,0,11
"cs2-C4H8",67,-5.7,-7.439,33.799,-17.046,33.013,0,12
"trs2-C4H8",64.09999999999999,-10.1,9.791,30.209,-14.239,25.398,0,13
"C4H8",70.3,1.2,-1.004,36.193,-21.381,50.502,0,14
"i-C4H10",-18,-131.6,-7.908,41.573,-22.992,49.875,0,15
"n-C4H10",-16.6,-125.8,3.954,37.126,-18.326,34.979,0,16
"C5H10",38.6,-77.2,-54.213,54.757,-31.159,68.661,0,17
"n-C5H12",-8.700000000000001,-146.8,6.77,45.398,-22.448,42.259,0,18
"C6H6",129.7,82.90000000000001,-36.192,48.444,-31.548,77.57299999999999,0,19
"C6H6(l)",124.5,-4.2,136.946,0,0,0,0,20
"nC6H14(g)",0.21,-166.9,6.933,55.188,-28.636,57.657,0,21
"nC6H14(l)",-3.8,-198.8,216.318,0,0,0,0,22
"C7H8",122.1,50.2,-34.364,55.887,-34.435,80.33500000000001,0,23
"C7H14",27.3,-154.8,-63.054,79.381,-45.979,100.795,0,25
"C7H16(l)",1.8,-224.4,212.552,0,0,0,0,26
"EtC6H6",130.9,29.9,-35.138,66.67400000000001,-41.854,100.209,0,27
"m-C8H10",118.8,17.2,-27.335,62.364,-36.95,83.89100000000001,0,28
"o-C8H10",122.1,19,-15.854,59.795,-34.954,78.661,0,29
"p-C8H10",121.1,18,-22.318,59.498,-33.406,71.255,0,30
"nC8H18(l)",7.4,-250,276.234,0,0,0,0,31
"CH2O",-102.5,-108.6,22.791,4.075,0.713,-8.695,0,32
"CH4O",-162,-200.7,19.038,9.146000000000001,-1.218,-8.034000000000001,0,33
"C2H2O",-59.8,-61.8,17.197,12.41,-7.502,17.657,0,34
"C2H4O",-128.9,-166.2,17.531,13.239,-2.155,-15.9,0,35
"C2H5OH",-168.5,-235.1,19.875,20.946,-10.372,20.042,0,36
"C2H5CHO",-142.1,-205.6,0,0,0,0,0,37
"(CH3)2CO",-152.5,-216.7,6.799,27.87,-15.636,34.757,0,38
"CH3CN",0,82.90000000000001,21.297,11.562,-3.812,0,0,39
"iC3H8O",-159.8,-261.1,3.321,35.573,-20.987,48.368,0,41
"CH5N",27.6,-28,12.534,15.105,-6.881,12.345,0,42
"CO",-137.2,-110.5,28.142,0.167,0.537,-2.221,0,43
"CO2",-394.4,-393.5,22.243,5.977,-3.499,7.464,0,44
"COS",-170.9,-141.5,26.034,6.427,-4.427,10.711,0,45
"CS2",67.5,117.6,30.921,6.23,-4.586,11.548,0,46
"Ca",0,0,22.218,1.393,0,0,0,47
"CaCl2",-748.1,-795.8000000000001,70.711,1.615,0,0,0,48
"CaCO3",-1128.8,-1206.9,82.343,4.975000000000001,0,0,-1287029.2,49
"CaO",-604,-635.1,41.841,2.025,0,0,-451882.8,50
"Ca(OH)2",-898.5,-986.1,89.54000000000001,0,0,0,0,51
"CaOSiO2",-1495.8,-1581.2,116.946,0.86,0,0,-3119665,52
"Cl2",0,0,28.541,2.389,-2.137,6.473,0,53
"Cu",0,0,22.762,0.612,0,0,0,54
"CuO",-133.5,-161.1,45.481,1.496,0,0,-630125.5,55
"CuS",-48.9,-48.5,44.351,1.105,0,0,0,56
"F2",0,0,25.586,2.454,-1.752,4.099,0,57
"Fe",0,0,17.28,2.669,0,0,0,58
"FeO",-248.5,-270.4,52.803,0.624,0,0,-318828.4,59
"Fe2O3",-742.2,-824.2,103.431,6.711,0,0,-1771547.9,60
"Fe3O4",-1013.8,-1116.7,172.259,7.874,0,0,-4098326,61
"FeOSiO2",-1060.7,-1144.4,98.285,4.269,0,0,-1215062.6,62
"H2",0,0,29.088,-0.191,0.4,-0.87,0,63
"H2O(g)",-228.6,-241.8,32.218,0.192,1.055,-3.593,0,64
"H2S",-33.6,-20.6,29.582,1.309,0.571,-3.292,0,65
"HBr(g)",53.5,-36.4,29.996,-0.671,1.387,-4.858,0,66
"HCl(g)",-95.3,-92.3,30.31,-0.762,1.326,-4.335,0,67
"HF(g)",-273.2,-271.1,30.13,-0.493,0.659,-1.573,0,68
"HI(g)",1.7,26.5,28.042,0.19,0.509,-2.014,0,69
"HCN(g)",124.7,135.1,26.527,3.504,-1.093,0,0,70
"Hg(l)",0,0,27.657,0,0,0,0,71
"HgO",-58.3,-90.40000000000001,48.117,0,0,0,0,72
"I2(g)",19.4,62.3,35.582,0.55,-0.447,1.308,0,73
"Mg",0,0,25.941,0.556,0,0,-283682,74
"MgCl2",-601.5,-641.1,72.38500000000001,1.577,0,0,0,75
"MgO",-569.4,-601.7,45.439,0.501,0,0,-873221.7000000001,76
"Mg(OH)2",-808.8000000000001,-936.8000000000001,76.151,0,0,0,0,77
"N2",0,0,28.883,-0.157,0.8080000000000001,-2.871,0,78
"NO",86.60000000000001,90.3,29.322,-0.094,0.974,-4.184,0,79
"NO2",51.3,33.2,22.929,5.711,-3.519,7.866,0,80
"N2O",104.2,82.10000000000001,24.092,5.859,-3.56,10.569,0,81
"N2O4",97.90000000000001,9.200000000000001,33.054,18.661,-11.339,0,0,82
"NH3",-16.5,-46.1,27.551,2.563,0.99,-6.687,0,83
"NH4Cl",-202.9,-314.4,41.004,0.154,0,0,0,84
"Na",0,0,20.962,2.243,0,0,0,85
"NaHCO3",-848,-945.6,0,0,0,0,0,86
"Na2CO3",-1044.4,-1130.7,120.92,0,0,0,0,87
"NaCl",-384.1,-411.2,45.146,1.757,0,0,0,88
"O2",0,0,25.46,1.519,-0.715,1.311,0,89
"Pb",0,0,24.142,0.845,0,0,0,90
"PbO(red)",-188.9,-219,43.222,1.331,0,0,0,91
"PbS",-92,-93.60000000000001,44.477,1.678,0,0,0,92
"PbSO4",-807.1,-914.2,110.46,0,0,0,0,93
"S",0,0,15.188,2.678,0,0,0,94
"S2(g)",81,129.8,27.193,2.217,-1.627,3.983,0,95
"SO2",-300.2,-296.8,25.762,5.791,-3.809,8.606999999999999,0,96
"SO3",-371.1,-395.7,16.393,14.573,-11.193,32.402,0,97
"Si",0,0,24.017,0.258,0,0,-422594.1,98
"SiO2qrtz",-796.7,-850.8000000000001,45.481,3.645,0,0,-1009204.9,99
"C3H6",62.2,19.7,3.151,23.812,-12.176,24.603,0,9
"C7H8(l)",113.6,12.2,169.623,0,0,0,0,24
"CH3CHO",-128.9,-166.2,17.531,13.239,-2.155,-15.9,0,40
