P_MPa,Tsat_C,T_C,sat,V,U,H,S
5.0,263.99,,True,0.0012859,1147.8,1154.2,2.9202
10.0,311.06,,True,0.0014524,1393.0,1407.6,3.3596
15.0,342.24,,True,0.0016581,1585.6,1610.5,3.6848
5.0,263.99,0.0,False,0.0009977,0.04,5.04,0.0001
10.0,311.06,0.0,False,0.0009952,0.09,10.04,0.0002
15.0,342.24,0.0,False,0.0009928,0.15,15.05,0.0004
5.0,263.99,20.0,False,0.0009995,83.65,88.65,0.2956
10.0,311.06,20.0,False,0.0009972,83.36,93.33,0.2945
15.0,342.24,20.0,False,0.000995,83.06,97.99,0.2934
5.0,263.99,40.0,False,0.0010056,166.95,171.97,0.5705
10.0,311.06,40.0,False,0.0010034,166.35,176.38,0.5686
15.0,342.24,40.0,False,0.0010013,165.76,180.78,0.5666
5.0,263.99,60.0,False,0.0010149,250.23,255.3,0.8285
10.0,311.06,60.0,False,0.0010127,249.36,259.49,0.8258
15.0,342.24,60.0,False,0.0010105,248.51,263.67,0.8232
5.0,263.99,80.0,False,0.0010268,333.72,338.85,1.072
10.0,311.06,80.0,False,0.0010245,332.59,342.83,1.0688
15.0,342.24,80.0,False,0.0010222,331.48,346.81,1.0656
5.0,263.99,100.0,False,0.001041,417.52,422.72,1.303
10.0,311.06,100.0,False,0.0010385,416.12,426.5,1.2992
15.0,342.24,100.0,False,0.0010361,414.74,430.28,1.2955
5.0,263.99,120.0,False,0.0010576,501.8,507.09,1.5233
10.0,311.06,120.0,False,0.0010549,500.08,510.64,1.5189
15.0,342.24,120.0,False,0.0010522,498.4,514.19,1.5145
5.0,263.99,140.0,False,0.0010768,586.76,592.15,1.7343
10.0,311.06,140.0,False,0.0010737,584.68,595.42,1.7292
15.0,342.24,140.0,False,0.0010707,582.66,598.72,1.7242
5.0,263.99,160.0,False,0.0010988,672.62,678.12,1.9375
10.0,311.06,160.0,False,0.0010953,670.13,681.08,1.9317
15.0,342.24,160.0,False,0.0010918,667.71,684.09,1.926
5.0,263.99,180.0,False,0.001124,759.63,765.25,2.1341
10.0,311.06,180.0,False,0.0011199,756.65,767.84,2.1275
15.0,342.24,180.0,False,0.0011159,753.76,770.5,2.121
5.0,263.99,200.0,False,0.001153,848.1,853.9,2.3255
10.0,311.06,200.0,False,0.001148,844.5,856.0,2.3178
15.0,342.24,200.0,False,0.0011433,841.0,858.2,2.3104
5.0,263.99,220.0,False,0.0011866,938.4,944.4,2.5128
10.0,311.06,220.0,False,0.0011805,934.1,945.9,2.5039
15.0,342.24,220.0,False,0.0011748,929.9,947.5,2.4953
5.0,263.99,240.0,False,0.0012264,1031.4,1037.5,2.6979
10.0,311.06,240.0,False,0.0012187,1026.0,1038.1,2.6872
15.0,342.24,240.0,False,0.0012114,1020.8,1039.0,2.6771
5.0,263.99,260.0,False,0.0012749,1127.9,1134.3,2.883
10.0,311.06,260.0,False,0.0012645,1121.1,1133.7,2.8699
15.0,342.24,260.0,False,0.001255,1114.6,1133.4,2.8576
10.0,311.06,280.0,False,0.0013216,1220.9,1234.1,3.0548
15.0,342.24,280.0,False,0.0013084,1212.5,1232.1,3.0393
10.0,311.06,300.0,False,0.0013972,1328.4,1342.3,3.2469
15.0,342.24,300.0,False,0.001377,1316.6,1337.3,3.226
15.0,342.24,320.0,False,0.0014724,1431.1,1453.2,3.4247
15.0,342.24,340.0,False,0.0016311,1567.5,1591.9,3.6546
20.0,365.81,,True,0.002036,1785.6,1826.3,4.0139
20.0,365.81,0.0,False,0.0009904,0.19,20.01,0.0004
30.0,,0.0,False,0.0009856,0.25,29.82,0.0001
50.0,,0.0,False,0.0009766,0.2,49.03,0.0014
20.0,365.81,20.0,False,0.0009928,82.77,102.62,0.2923
30.0,,20.0,False,0.0009886,82.17,111.84,0.2899
50.0,,20.0,False,0.0009804,81.0,130.02,0.2848
20.0,365.81,40.0,False,0.0009992,165.17,185.16,0.5646
30.0,,40.0,False,0.0009951,164.04,193.89,0.5607
50.0,,40.0,False,0.0009872,161.86,211.21,0.5527
20.0,365.81,60.0,False,0.0010084,247.68,267.85,0.8206
30.0,,60.0,False,0.0010042,246.06,276.19,0.8154
50.0,,60.0,False,0.0009962,242.98,292.79,0.8502
20.0,365.81,80.0,False,0.0010199,330.4,350.8,1.0624
30.0,,80.0,False,0.0010156,328.3,358.77,1.0561
50.0,,80.0,False,0.0010073,324.34,374.7,1.044
20.0,365.81,100.0,False,0.0010337,413.39,434.06,1.2917
30.0,,100.0,False,0.001029,410.78,441.66,1.2844
50.0,,100.0,False,0.0010201,405.88,456.89,1.2703
20.0,365.81,120.0,False,0.0010496,496.76,517.76,1.5102
30.0,,120.0,False,0.0010445,493.59,524.93,1.5018
50.0,,120.0,False,0.0010348,487.65,539.39,1.4857
20.0,365.81,140.0,False,0.0010678,580.69,602.04,1.7193
30.0,,140.0,False,0.0010621,576.88,608.75,1.7098
50.0,,140.0,False,0.0010515,569.77,622.35,1.6915
20.0,365.81,160.0,False,0.0010885,665.35,687.12,1.9204
30.0,,160.0,False,0.0010821,660.82,693.28,1.9096
50.0,,160.0,False,0.0010703,652.41,705.92,1.8891
20.0,365.81,180.0,False,0.001112,750.95,773.2,2.1147
30.0,,180.0,False,0.0011047,745.59,778.73,2.1024
50.0,,180.0,False,0.0010912,735.69,790.25,2.0794
20.0,365.81,200.0,False,0.0011388,837.7,860.5,2.3031
30.0,,200.0,False,0.0011302,831.4,865.3,2.2893
50.0,,200.0,False,0.0011146,819.7,875.5,2.2634
20.0,365.81,220.0,False,0.0011693,925.9,949.3,2.487
30.0,,220.0,False,0.001159,918.3,953.1,2.4711
50.0,,220.0,False,0.0011408,904.7,961.7,2.4419
20.0,365.81,240.0,False,0.0012046,1016.0,1040.0,2.6674
30.0,,240.0,False,0.001192,1006.9,1042.6,2.649
50.0,,240.0,False,0.0011072,990.7,1049.2,2.6158
20.0,365.81,260.0,False,0.0012462,1108.6,1133.5,2.8459
30.0,,260.0,False,0.0012303,1097.4,1134.3,2.8243
50.0,,260.0,False,0.0012034,1078.1,1138.2,2.786
20.0,365.81,280.0,False,0.0012965,1204.7,1230.6,3.0248
30.0,,280.0,False,0.0012755,1190.7,1229.0,2.9986
50.0,,280.0,False,0.0012415,1167.2,1229.3,2.9537
20.0,365.81,300.0,False,0.0013596,1306.1,1333.3,3.2071
30.0,,300.0,False,0.0013304,1287.9,1327.8,3.1741
50.0,,300.0,False,0.001286,1258.7,1323.0,3.12
20.0,365.81,320.0,False,0.0014437,1415.7,1444.6,3.3979
30.0,,320.0,False,0.0013997,1390.7,1432.7,3.3539
50.0,,320.0,False,0.0013388,1353.3,1420.2,3.2868
20.0,365.81,340.0,False,0.0015684,1539.7,1571.0,3.6075
30.0,,340.0,False,0.001492,1501.7,1546.5,3.5426
50.0,,340.0,False,0.0014032,1452.0,1522.1,3.4557
20.0,365.81,360.0,False,0.0018226,1702.8,1739.3,3.8772
30.0,,360.0,False,0.0016265,1626.6,1675.4,3.7494
50.0,,360.0,False,0.0014838,1556.0,1630.2,3.6291
30.0,,380.0,False,0.0018691,1781.4,1837.5,4.0012
50.0,,380.0,False,0.0015884,1667.2,1746.6,3.8101
