T_C,P_MPa,Vl,Vv,Ul,dU,Uv,Hl,dH,Hv,Sl,dS,Sv
0.01,0.0006113,0.001,206.14,0.0,2375.3,2375.3,0.01,2501.3,2501.4,0.0,9.1562,9.1562
6.98,0.001,0.001,129.21,29.3,2355.7,2385.0,29.3,2484.9,2514.2,0.1059,8.8697,8.9756
13.03,0.0015,0.001001,87.98,54.71,2338.6,2393.3,54.71,2470.6,2525.3,0.1957,8.6322,8.8279
17.5,0.002,0.001001,67.0,73.48,2326.0,2399.5,73.48,2460.0,2533.5,0.2607,8.4629,8.7237
21.08,0.0025,0.001002,54.25,88.48,2315.9,2404.4,88.49,2451.6,2540.0,0.312,8.3311,8.6432
24.08,0.003,0.001003,45.67,101.04,2307.5,2408.5,101.05,2444.5,2545.5,0.3545,8.2231,8.5776
28.96,0.004,0.001004,34.8,121.45,2293.7,2415.2,121.46,2432.9,2554.4,0.4226,8.052,8.4746
32.88,0.005,0.001005,28.19,137.81,2282.7,2420.5,137.82,2423.7,2561.5,0.4764,7.9187,8.3951
40.29,0.0075,0.001008,19.24,168.78,2261.7,2430.5,168.79,2406.0,2574.8,0.5764,7.675,8.2515
45.81,0.01,0.00101,14.67,191.82,2246.1,2437.9,191.83,2392.8,2584.7,0.6493,7.5009,8.1502
53.97,0.015,0.001014,10.02,225.92,2222.8,2448.7,225.94,2373.1,2599.1,0.7549,7.2536,8.0085
60.06,0.02,0.001017,7.649,251.38,2205.4,2456.7,251.4,2358.3,2609.7,0.832,7.0766,7.9085
64.97,0.025,0.00102,6.204,271.9,2191.2,2463.1,271.93,2346.3,2618.2,0.8931,6.9383,7.8314
69.1,0.03,0.001022,5.229,289.2,2179.2,2468.4,289.23,2336.1,2625.3,0.9439,6.8247,7.7686
75.87,0.04,0.001027,3.993,317.53,2159.5,2477.0,317.58,2319.2,2636.8,1.0259,6.6441,7.67
81.33,0.05,0.00103,3.24,340.44,2143.4,2483.9,340.49,2305.4,2645.9,1.091,6.5029,7.5939
91.78,0.075,0.001037,2.217,384.31,2112.4,2496.7,384.39,2278.6,2663.0,1.213,6.2434,7.4564
99.63,0.1,0.001043,1.694,417.36,2088.7,2506.1,417.46,2258.0,2675.5,1.3026,6.0568,7.3594
105.99,0.125,0.001048,1.3749,444.19,2069.3,2513.5,444.32,2241.0,2685.4,1.374,5.9104,7.2844
