P_MPa,Tsat_C,T_C,sat,V,U,H,S
0.01,45.81,,True,14.674,2437.9,2584.7,8.1502
0.05,81.33,,True,3.24,2483.9,2645.9,7.5939
0.1,99.63,,True,1.694,2506.1,2675.5,7.3594
0.01,45.81,50.0,False,14.869,2443.9,2592.6,8.1749
0.01,45.81,100.0,False,17.196,2515.5,2687.5,8.4479
0.05,81.33,100.0,False,3.418,2511.6,2682.5,7.6947
0.1,99.63,100.0,False,1.6958,2506.7,2676.2,7.3614
0.01,45.81,150.0,False,19.512,2587.9,2783.0,8.6882
0.05,81.33,150.0,False,3.889,2585.6,2780.1,7.9401
0.1,99.63,150.0,False,1.9364,2582.8,2776.4,7.6134
0.01,45.81,200.0,False,21.825,2661.3,2879.5,8.9038
0.05,81.33,200.0,False,4.356,2659.9,2877.7,8.158
0.1,99.63,200.0,False,2.172,2658.1,2875.3,7.8343
0.01,45.81,250.0,False,24.136,2736.0,2977.3,9.1002
0.05,81.33,250.0,False,4.82,2735.0,2976.0,8.3556
0.1,99.63,250.0,False,2.406,2733.7,2974.3,8.0333
0.01,45.81,300.0,False,26.445,2812.1,3076.5,9.2813
0.05,81.33,300.0,False,5.284,2811.3,3075.5,8.5373
0.1,99.63,300.0,False,2.639,2810.4,3074.3,8.2158
0.01,45.81,400.0,False,31.063,2968.9,3279.6,9.6077
0.05,81.33,400.0,False,6.209,2968.5,3278.9,8.8642
0.1,99.63,400.0,False,3.103,2967.9,3278.2,8.5435
0.01,45.81,500.0,False,35.679,3132.3,3489.1,9.8978
0.05,81.33,500.0,False,7.134,3132.0,3488.7,9.1546
0.1,99.63,500.0,False,3.565,3131.6,3488.1,8.8342
0.01,45.81,600.0,False,40.295,3302.5,3705.4,10.1608
0.05,81.33,600.0,False,8.057,3302.2,3705.1,9.4178
0.1,99.63,600.0,False,4.028,3301.9,3704.7,9.0976
0.01,45.81,700.0,False,44.911,3479.6,3928.7,10.4028
0.05,81.33,700.0,False,8.981,3479.4,3928.5,9.6599
0.1,99.63,700.0,False,4.49,3479.2,3928.2,9.3398
0.01,45.81,800.0,False,49.526,3663.8,4159.0,10.6281
0.05,81.33,800.0,False,9.904,3663.6,4158.9,9.8852
0.1,99.63,800.0,False,4.952,3663.5,4158.6,9.5652
0.01,45.81,900.0,False,54.141,3855.0,4396.4,10.8396
0.05,81.33,900.0,False,10.828,3854.9,4396.3,10.0967
0.1,99.63,900.0,False,5.414,3854.8,4396.1,9.7767
0.01,45.81,1000.0,False,58.757,4053.0,4640.6,11.0393
0.05,81.33,1000.0,False,11.751,4052.9,4640.5,10.2964
0.1,99.63,1000.0,False,5.875,4052.8,4640.3,9.9764
0.01,45.81,1100.0,False,63.372,4257.5,4891.2,11.2287
0.05,81.33,1100.0,False,12.674,4257.4,4891.1,10.4859
0.1,99.63,1100.0,False,6.337,4257.3,4891.0,10.1659
0.01,45.81,1200.0,False,67.987,4467.9,5147.8,11.4091
0.05,81.33,1200.0,False,13.597,4467.8,5147.7,10.6662
0.1,99.63,1200.0,False,6.799,4467.7,5147.6,10.3463
0.01,45.81,1300.0,False,72.602,4683.7,5409.7,11.5811
0.05,81.33,1300.0,False,14.521,4683.6,5409.6,10.8382
0.1,99.63,1300.0,False,7.26,4683.5,5409.5,10.5183
0.2,120.23,,True,0.8857,2529.5,2706.7,7.1272
0.3,133.55,,True,0.6058,2543.6,2725.3,6.9919
0.4,143.63,,True,0.4625,2553.6,2738.6,6.8959
0.2,120.23,150.0,False,0.9596,2576.9,2768.8,7.2795
0.3,133.55,150.0,False,0.6339,2570.8,2761.0,7.0778
0.4,143.63,150.0,False,0.4708,2564.5,2752.8,6.9299
0.2,120.23,200.0,False,1.0803,2654.4,2870.5,7.5066
0.3,133.55,200.0,False,0.7163,2650.7,2865.6,7.3115
0.4,143.63,200.0,False,0.5342,2646.8,2860.5,7.1706
0.2,120.23,250.0,False,1.1988,2731.2,2971.0,7.7086
0.3,133.55,250.0,False,0.7964,2728.7,2967.6,7.5166
0.4,143.63,250.0,False,0.5951,2726.1,2964.2,7.3789
0.2,120.23,300.0,False,1.3162,2808.6,3071.8,7.8926
0.3,133.55,300.0,False,0.8753,2806.7,3069.3,7.7022
0.4,143.63,300.0,False,0.6548,2804.8,3066.8,7.5662
0.2,120.23,400.0,False,1.5493,2966.7,3276.6,8.2218
0.3,133.55,400.0,False,1.0315,2965.6,3275.0,8.033
0.4,143.63,400.0,False,0.7726,2964.4,3273.4,7.8985
0.2,120.23,500.0,False,1.7814,3130.8,3487.1,8.5133
0.3,133.55,500.0,False,1.1867,3130.0,3486.0,8.3251
0.4,143.63,500.0,False,0.8893,3129.2,3484.9,8.1913
0.2,120.23,600.0,False,2.013,3301.4,3704.0,8.777
0.3,133.55,600.0,False,1.3414,3300.8,3703.2,8.5892
0.4,143.63,600.0,False,1.0055,3300.2,3702.4,8.4558
0.2,120.23,700.0,False,2.244,3478.8,3927.6,9.0194
0.3,133.55,700.0,False,1.4957,3478.1,3927.1,8.8319
0.4,143.63,700.0,False,1.1215,3477.9,3926.5,8.6987
0.2,120.23,800.0,False,2.475,3663.1,4158.2,9.2449
0.3,133.55,800.0,False,1.6499,3662.9,4157.8,9.0576
0.4,143.63,800.0,False,1.2372,3662.4,4157.3,8.9244
0.2,120.23,900.0,False,2.706,3854.5,4395.8,9.4566
0.3,133.55,900.0,False,1.8041,3854.2,4395.4,9.2692
0.4,143.63,900.0,False,1.3529,3853.9,4395.1,9.1362
0.2,120.23,1000.0,False,2.937,4052.5,4640.0,9.6563
0.3,133.55,1000.0,False,1.9581,4052.3,4639.7,9.469
0.4,143.63,1000.0,False,1.4685,4052.0,4639.4,9.336
0.2,120.23,1100.0,False,3.168,4257.0,4890.7,9.8458
0.3,133.55,1100.0,False,2.1121,4256.8,4890.4,9.6585
0.4,143.63,1100.0,False,1.584,4256.5,4890.2,9.5256
0.2,120.23,1200.0,False,3.399,4467.5,5147.3,10.0262
0.3,133.55,1200.0,False,2.2661,4467.2,5147.1,9.8389
0.4,143.63,1200.0,False,1.6996,4467.0,5146.8,9.706
0.2,120.23,1300.0,False,3.63,4683.2,5409.3,10.1982
0.3,133.55,1300.0,False,2.4201,4683.0,5409.0,10.011
0.4,143.63,1300.0,False,1.8151,4682.8,5408.8,9.878
0.5,151.86,,True,0.3749,2561.2,2748.7,6.8213
0.6,158.85,,True,0.3157,2567.4,2756.8,6.76
0.8,170.43,,True,0.2404,2576.8,2769.1,6.6628
0.5,151.86,200.0,False,0.4249,2642.9,2855.4,7.0592
0.6,158.85,200.0,False,0.352,2638.9,2850.1,6.9665
0.8,170.43,200.0,False,0.2608,2630.6,2839.3,6.8158
