main_i,main_j,a_ij
1,2,86.02
1,3,61.13
1,4,76.5
1,5,986.5
1,6,697.2
1,7,1318.0
1,8,1333.0
1,9,476.4
1,10,677.0
1,11,232.1
1,12,741.4
1,13,251.5
1,14,391.5
1,15,255.7
1,16,206.6
1,17,920.7
1,18,287.7
1,19,597.0
1,20,663.5
1,21,35.93
1,22,53.76
1,23,24.9
1,24,104.3
1,25,321.5
1,26,661.5
1,27,543.0
1,28,153.6
1,29,184.4
1,30,354.5
1,31,3025.0
1,32,335.8
1,33,479.5
1,34,298.9
1,35,526.5
1,36,689.0
1,37,-4.189
1,38,125.8
1,39,485.3
1,40,-2.859
1,41,387.1
1,42,-450.4
1,43,252.7
1,44,220.3
2,1,-35.36
2,3,38.81
2,4,74.15
2,5,524.1
2,6,787.6
2,7,270.6
2,8,526.1
2,9,182.6
2,10,448.8
2,11,37.85
2,12,449.1
2,13,214.5
2,14,240.9
2,15,163.9
2,16,61.11
2,17,749.3
2,19,336.9
2,20,318.9
2,21,204.6
2,22,5.892
2,23,-13.99
2,24,-109.7
2,25,393.1
2,26,357.5
2,28,76.3
2,34,31.14
2,35,-137.4
2,37,-66.46
2,39,-70.45
2,41,48.33
3,1,-11.12
3,2,3.446
3,4,167.0
3,5,636.1
3,6,637.3
3,7,903.8
3,8,1329.0
3,9,25.77
3,10,347.3
3,11,5.994
3,12,-92.55
3,13,32.14
3,14,161.7
3,15,122.8
3,16,90.49
3,17,648.2
3,18,-4.449
3,19,212.5
3,20,537.4
3,21,-18.81
3,22,-144.4
3,23,-231.9
3,24,3.0
3,25,538.2
3,26,168.0
3,27,194.9
3,28,52.07
3,29,-10.43
3,30,-64.69
3,31,210.4
3,32,113.3
3,33,-13.59
3,35,169.9
3,37,-259.1
3,38,389.3
3,39,245.6
3,41,103.5
3,42,-432.3
3,43,238.9
3,44,30.04
4,1,-69.7
4,2,-113.6
4,3,-146.8
4,5,803.2
4,6,603.2
4,7,5695.0
4,8,884.9
4,9,-52.1
4,10,586.6
4,11,5688.0
4,12,115.2
4,13,213.1
4,15,-49.29
4,16,23.5
4,17,664.2
4,18,52.8
4,19,6096.0
4,20,603.8
4,21,-114.1
4,22,-111.0
4,23,-12.14
4,24,-141.3
4,25,-126.9
4,26,3629.0
4,27,4448.0
4,28,-9.451
4,30,-20.36
4,31,4975.0
4,33,-171.3
4,35,4284.0
4,38,101.4
4,39,5629.0
4,41,69.26
4,44,46.38
5,1,156.4
5,2,457.0
5,3,89.6
5,4,25.82
5,6,-137.1
5,7,353.5
5,8,-259.7
5,9,84.0
5,10,441.8
5,11,101.1
5,12,193.1
5,13,28.06
5,14,83.02
5,15,42.7
5,16,-323.0
5,17,-52.39
5,18,170.0
5,19,6.712
5,20,199.0
5,21,75.62
5,22,-112.1
5,23,-98.12
5,24,143.1
5,25,287.8
5,26,256.5
5,27,157.1
5,28,477.0
5,29,147.5
5,30,-120.5
5,31,-318.9
5,32,313.5
5,33,133.4
5,35,-202.1
5,37,225.8
5,38,44.78
5,39,-143.9
5,41,190.3
5,42,-817.7
5,44,-504.2
6,1,16.51
6,2,-12.52
6,3,-50.0
6,4,-44.5
6,5,249.1
6,7,-181.0
6,8,-101.7
6,9,23.39
6,10,306.4
6,11,-10.72
6,12,193.4
6,13,-128.6
6,14,359.3
6,15,266.0
6,16,53.9
6,17,489.7
6,18,580.5
6,19,36.23
6,20,-289.5
6,21,-38.32
6,22,-102.5
6,23,-139.4
6,24,-67.8
6,25,17.12
6,26,75.14
6,28,-31.09
6,29,37.84
6,33,106.3
6,35,-399.3
6,37,33.47
6,38,-48.25
6,39,-172.4
6,41,165.7
7,1,300.0
7,2,496.1
7,3,362.3
7,4,377.6
7,5,-229.1
7,6,289.6
7,8,324.5
7,9,-195.4
7,10,-257.3
7,11,72.87
7,13,540.5
7,14,48.89
7,15,168.0
7,16,304.0
7,17,-52.29
7,18,459.0
7,19,112.6
7,20,-14.09
7,21,325.4
7,22,370.4
7,23,353.7
7,24,497.5
7,25,678.2
7,26,220.6
7,27,399.5
7,28,887.1
7,30,188.0
7,35,-139.0
7,36,160.8
7,39,319.0
7,41,-197.5
7,44,-452.2
8,1,275.8
8,2,217.5
8,3,25.34
8,4,244.2
8,5,-451.6
8,6,-265.2
8,7,-601.8
8,9,-356.1
8,11,-449.4
8,17,119.9
8,18,-305.5
8,24,1827.0
8,31,-687.1
8,41,-494.2
9,1,26.76
9,2,42.92
9,3,140.1
9,4,365.8
9,5,164.5
9,6,108.7
9,7,472.5
9,8,-133.1
9,10,-37.36
9,11,-213.7
9,12,-38.47
9,13,-103.6
9,16,-169.0
9,17,6201.0
9,18,165.1
9,19,481.7
9,20,669.4
9,21,-191.7
9,22,-284.0
9,23,-354.6
9,24,-39.2
9,25,174.5
9,26,137.5
9,28,216.1
9,29,-46.28
9,30,-163.7
9,32,53.59
9,33,245.2
9,34,-246.6
9,35,-44.58
9,37,-34.57
9,39,-61.7
9,41,-18.8
9,42,-588.9
10,1,505.7
10,2,56.3
10,3,23.39
10,4,106.0
10,5,-404.8
10,6,-340.2
10,7,232.7
10,9,128.0
10,11,-110.3
10,12,11.31
10,13,304.1
10,21,751.9
10,23,-483.7
11,1,114.8
11,2,132.1
11,3,85.84
11,4,-170.0
11,5,245.4
11,6,249.6
11,7,200.8
11,8,-36.72
11,9,372.2
11,10,185.1
11,12,372.9
11,13,-235.7
11,15,-73.5
11,17,475.5
11,19,494.6
11,20,660.2
11,21,-34.74
11,22,108.9
11,23,-209.7
11,24,54.47
11,25,629.0
11,26,-81.13
11,28,183.0
11,30,202.3
11,31,-101.7
11,32,148.3
11,33,18.88
11,35,52.08
11,36,-28.61
11,37,-83.3
11,41,560.2
12,1,90.49
12,2,-62.55
12,3,1967.0
12,4,2347.0
12,5,191.2
12,6,155.7
12,9,70.42
12,10,35.35
12,11,-261.1
12,20,-356.3
12,23,-287.2
12,24,36.84
12,29,4.339
12,41,-70.24
13,1,83.36
13,2,26.51
13,3,52.13
13,4,65.69
13,5,237.7
13,6,238.4
13,7,-314.7
13,9,191.1
13,10,-7.838
13,11,461.3
13,15,141.7
13,19,-18.51
13,20,664.6
13,21,301.1
13,22,137.8
13,23,-154.3
13,24,47.67
13,25,66.15
13,26,95.18
13,28,140.9
13,29,-8.538
13,31,-20.11
13,32,-149.5
13,33,-202.3
13,35,172.1
13,37,240.2
13,38,-273.9
13,39,254.8
13,41,417.0
14,1,-30.48
14,2,1.163
14,3,-44.85
14,5,-164.0
14,6,-481.7
14,7,-330.4
14,15,63.72
14,16,-41.11
14,17,-200.7
14,24,-99.81
14,25,68.81
14,29,-70.14
15,1,65.33
15,2,-28.7
15,3,-22.31
15,4,223.0
15,5,-150.0
15,6,-500.4
15,7,-448.2
15,11,136.0
15,13,-49.3
15,14,108.8
15,16,-189.2
15,24,71.23
15,25,4350.0
15,41,-38.77
16,1,-83.98
16,2,-25.38
16,3,-223.9
16,4,109.9
16,5,28.6
16,6,-406.8
16,7,-598.8
16,9,225.3
16,14,38.89
16,15,865.9
16,22,-73.85
16,23,-352.9
16,24,-8.283
16,25,-86.36
16,38,-196.3
17,1,1139.0
17,2,2000.0
17,3,247.5
17,4,762.8
17,5,-17.4
17,6,-118.1
17,7,-367.8
17,8,-253.1
17,9,-450.3
17,11,-294.8
17,14,-15.07
17,19,-281.6
17,21,287.0
17,24,822.0
17,25,287.9
17,27,-139.3
17,31,-136.9
17,39,-334.4
17,41,-89.42
18,1,-101.6
18,3,31.87
18,4,49.8
18,5,-132.3
18,6,-378.2
18,7,-332.9
18,8,-341.6
18,9,-51.54
18,19,-169.7
18,20,-153.7
18,22,-351.6
18,23,-114.7
18,24,-165.1
19,1,24.82
19,2,-40.62
19,3,-22.97
19,4,-138.4
19,5,185.4
19,6,157.8
19,7,242.8
19,9,-287.5
19,11,-266.6
19,13,38.81
19,17,777.4
19,18,134.3
19,21,88.75
19,22,-152.7
19,23,-15.62
19,24,-54.86
19,25,52.31
19,26,-0.515
19,28,230.9
19,29,21.37
19,34,-203.0
19,36,81.57
19,37,3.509
19,41,120.3
20,1,315.3
20,2,1264.0
20,3,62.32
20,4,268.2
20,5,-151.0
20,6,1020.0
20,7,-66.17
20,9,-297.8
20,11,-256.3
20,12,312.5
20,13,-338.5
20,18,-313.5
20,21,44.42
20,22,-183.4
20,23,76.75
20,24,212.7
20,33,-95.0
20,37,-11.16
20,41,-337.0
21,1,91.46
21,2,97.51
21,3,4.68
21,4,122.9
21,5,562.2
21,6,529.0
21,7,698.2
21,9,286.3
21,10,-47.51
21,11,35.38
21,13,225.4
21,17,429.7
21,19,-62.41
21,20,326.4
21,22,108.3
21,23,249.2
21,24,62.42
21,25,464.4
21,26,32.73
21,28,450.1
21,29,59.02
21,33,-125.9
21,37,-245.4
21,41,63.67
22,1,34.01
22,2,18.25
22,3,121.3
22,4,140.8
22,5,747.7
22,6,669.9
22,7,708.7
22,9,423.2
22,11,-132.9
22,13,-197.7
22,16,-141.4
22,18,587.3
22,19,258.6
22,20,1821.0
22,21,-84.53
22,24,56.33
22,32,177.6
22,35,215.0
22,41,-96.87
23,1,36.7
23,2,51.06
23,3,288.5
23,4,33.61
23,5,742.1
23,6,649.1
23,7,826.7
23,9,552.1
23,10,242.8
23,11,176.5
23,12,488.9
23,13,-20.93
23,16,-293.7
23,18,18.98
23,19,74.04
23,20,1346.0
23,21,-157.1
23,24,-30.1
23,28,116.6
23,30,-64.38
23,32,86.4
23,35,363.7
23,37,111.2
23,41,255.8
24,1,-78.45
24,2,160.9
24,3,-4.7
24,4,134.7
24,5,856.3
24,6,860.1
24,7,1201.0
24,8,10000.0
24,9,372.0
24,11,129.5
24,12,403.1
24,13,113.9
24,14,261.1
24,15,91.13
24,16,-126.0
24,17,898.2
24,18,309.2
24,19,492.0
24,20,689.0
24,21,11.8
24,22,17.97
24,23,51.9
24,25,475.8
24,26,490.9
24,27,534.7
24,28,132.2
24,30,546.7
24,32,247.8
24,33,41.94
24,35,337.7
24,36,369.5
24,37,187.1
24,38,215.2
24,39,498.6
24,41,256.5
24,43,233.1
25,1,-141.3
25,2,-158.8
25,3,-237.7
25,4,375.5
25,5,246.9
25,6,661.6
25,7,920.4
25,9,128.1
25,11,-246.3
25,13,95.5
25,14,203.5
25,15,-108.4
25,16,1088.0
25,17,530.5
25,19,356.9
25,21,-314.9
25,24,-255.4
25,26,-154.5
25,33,-60.7
25,41,-145.1
26,1,-32.69
26,2,-1.996
26,3,10.38
26,4,-97.05
26,5,261.6
26,6,252.6
26,7,417.9
26,9,-142.6
26,11,129.3
26,13,-94.49
26,19,0.2827
26,21,113.0
26,24,-34.68
26,25,794.4
26,27,533.2
26,31,139.8
26,32,304.3
26,33,10.17
26,34,-27.7
26,37,10.76
26,41,248.4
27,1,5541.0
27,3,1824.0
27,4,-127.8
27,5,561.6
27,7,360.7
27,17,134.9
27,24,514.6
27,26,-85.12
28,1,-52.65
28,2,16.62
28,3,21.5
28,4,40.68
28,5,823.5
28,6,914.2
28,7,1081.0
28,9,303.7
28,11,243.8
28,13,112.4
28,19,335.7
28,21,-73.09
28,23,-26.06
28,24,-60.71
28,37,-47.37
28,41,469.8
29,1,-7.481
29,3,28.41
29,5,461.6
29,6,382.8
29,9,160.6
29,12,239.8
29,13,63.71
29,14,106.7
29,19,125.7
29,21,-27.94
29,35,31.66
29,39,78.92
30,1,-25.31
30,3,157.3
30,4,404.3
30,5,521.6
30,7,23.48
30,9,317.5
30,11,-146.3
30,23,48.48
30,24,-133.1
31,1,140.0
31,3,221.4
31,4,150.6
31,5,267.6
31,8,838.4
31,11,152.0
31,13,9.207
31,17,255.4
31,26,481.3
31,35,-417.2
31,39,302.2
32,1,128.0
32,3,58.68
32,5,501.3
32,9,138.0
32,11,21.92
32,13,476.6
32,22,-40.82
32,23,21.76
32,24,48.49
32,26,64.28
32,41,68.55
33,1,-31.52
33,3,155.6
33,4,291.1
33,5,721.9
33,6,494.7
33,9,-142.6
33,11,24.37
33,13,736.4
33,20,5256.0
33,21,1169.0
33,24,225.8
33,25,224.0
33,26,125.3
34,1,-72.88
34,2,41.38
34,9,443.6
34,19,329.1
34,26,174.4
34,39,-119.8
35,1,50.49
35,2,422.4
35,3,-2.504
35,4,-143.2
35,5,-25.87
35,6,695.0
35,7,-240.0
35,9,110.4
35,11,41.57
35,13,-122.1
35,22,-215.0
35,23,-343.6
35,24,-58.43
35,29,85.7
35,31,535.8
35,39,-97.71
35,41,153.7
36,1,-165.9
36,7,386.6
36,11,175.5
36,19,-42.31
36,24,-85.15
36,41,423.4
37,1,47.41
37,2,124.2
37,3,395.8
37,5,738.9
37,6,528.0
37,9,-40.9
37,11,16.99
37,13,-217.9
37,19,304.0
37,20,898.2
37,21,428.5
37,23,-149.8
37,24,-134.2
37,26,379.4
37,28,167.9
37,41,730.8
38,1,-5.132
38,3,-237.2
38,4,-157.3
38,5,649.7
38,6,645.9
38,13,167.1
38,16,116.5
38,24,-124.6
38,40,-117.2
39,1,-31.95
39,2,249.0
39,3,-133.9
39,4,-240.2
39,5,64.16
39,6,172.2
39,7,-287.1
39,9,97.04
39,13,-158.2
39,17,343.7
39,24,-186.7
39,29,-71.0
39,31,-191.7
39,34,6.699
39,35,136.6
40,1,147.3
40,38,185.6
41,1,529.0
41,2,1397.0
41,3,317.6
41,4,615.8
41,5,88.63
41,6,171.0
41,7,284.4
41,8,-167.3
41,9,123.4
41,11,-234.9
41,12,65.37
41,13,-247.8
41,15,284.5
41,17,-22.1
41,19,-61.6
41,20,1179.0
41,21,182.2
41,22,305.4
41,23,-193.0
41,24,335.7
41,25,1107.0
41,26,-124.7
41,28,885.5
41,32,288.1
41,35,-29.34
41,36,-53.91
41,37,-198.0
42,1,-34.36
42,3,787.9
42,5,1913.0
42,9,992.4
42,43,-2166.0
43,1,110.2
43,3,234.4
43,24,70.81
43,42,745.3
44,1,13.89
44,3,-23.88
44,4,6.214
44,5,796.9
44,7,832.2
