subgroup_no,main_group_no,subgroup_name,main_group_name,R,Q,example
1,1,CH3,CH2,0.6325,1.0608,"n-Hexane: 4 CH2 , 2 CH3"
2,1,CH2,CH2,0.6325,0.7081,"n-Heptane: 5 CH2 , 2 CH3"
3,1,CH,CH2,0.6325,0.3554,"2-Methylpropane: 1 CH, 3 CH3"
4,1,C,CH2,0.6325,0,"Neopentane: 1 C, 4 CH3"
5,2,CH2 =CH,C=C,1.2832,1.6016,"1-Hexene: 1 CH2 =CH, 3 CH2 , 1 CH3"
6,2,CH=CH,C=C,1.2832,1.2489,"2-Hexene: 1 CH=CH, 2 CH3 , 2 CH2"
7,2,CH2 =C,C=C,1.2832,1.2489,"2-Methyl-1-butene: 1 CH2 =C, 1 CH2 , 2 CH3"
8,2,CH=C,C=C,1.2832,0.8962,"2-Methyl-2-butene: 1 CH=C, 2 CH3"
9,3,ACH,ACH,0.3763,0.4321,Benzene: 6 ACH
10,3,AC,ACH,0.3763,0.2113,"Styrene: 1 CH2 =C, 5 ACH2 , 1 ACH"
11,4,ACCH3,ACCH2,0.91,0.949,"Toluene: 5 ACH, 1 ACCH3"
12,4,ACCH2,ACCH2,0.91,0.7962,"Ethylbenzene: 5 ACH, 1 ACCH2 , 1 CH3"
13,4,ACCH,ACCH2,0.91,0.3769,"Isopropylbenzene: 5 ACH, 1 ACCH, 2 CH3"
14,5,OH(p),OH,1.2302,0.8927,"1-Propanol: 1 OH(p), 1 CH3 , 2 CH2"
15,6,CH3 OH,CH3 OH,0.8585,0.9938,Methanol
16,7,H2 O,Water,1.7334,2.4561,Water
17,8,ACOH,ACOH,1.08,0.975,"Phenol: 1 ACOH, 5 ACH"
18,9,CH3 CO,CH2 CO,1.7048,1.67,"2-Butanone: 1 CH3 CO, 1 CH3 , 1 CH2"
19,9,CH2 CO,CH2 CO,1.7048,1.5542,"2-Pentanone: 1 CH2 CO, 2 CH3 , 1 CH2"
20,10,CHO,CHO,0.7173,0.771,"Propionic aldehyde: 1 CHO, 1 CH3 , 1 CH2"
21,11,CH3 COO,CCOO,1.27,1.6286,"Butyl acetate: 1 CH3 COO, 1 CH3 , 3 CH2"
22,11,CH2 COO,CCOO,1.27,1.4228,"Methyl propionate: 1 CH2 COO, 2 CH3"
23,12,HCOO,HCOO,1.9,1.8,"Ethyl formate: 1 HCOO, 1 CH3 , 1 CH2"
24,13,CH3 O,CH2 O,1.1434,1.6022,"Dimethyl ether: 1 CH3 CO, 1 CH3"
25,13,CH2 O,CH2 O,1.1434,1.2495,"Diethyl ether: 1 CH2 O, 2 CH3 , 1 CH2"
26,13,CH-O,CH2 O,1.1434,0.8968,"Diisopropyl ether: 1 CHO, 4 CH3 , 1 CH"
27,43,cy-CH2 OCH2,cy-CH2 O,1.7023,1.8784,"Tetrahydrofuran: 1 cy-CH2 OCH2 , 2 cy-CH2"
28,14,CH3 NH2,CNH2,1.6607,1.6904,Methylamine: CH3 NH2
29,14,CH2 NH2,CNH2,1.6607,1.3377,"Ethylamine: 1 CH2 NH2 , 1 CH3"
30,14,CHNH2,CNH2,1.6607,0.985,"Isopropylamine: 1 CHNH2 , 2 CH3"
31,15,CH3 NH,CNH,1.368,1.4332,"Dimethylamine: CH3 NH, 1 CH3"
