subgroup_no,main_group_no,subgroup_name,main_group_name,R,Q,example,source
1,1,CH3,CH2,0.9011,0.848,,SIS-CET 2e Table 7.5-2
2,1,CH2,CH2,0.6744,0.54,"n-Hexane: 4 CH2, 2 CH3",SIS-CET 2e Table 7.5-2
3,1,CH,CH2,0.4469,0.228,"Isobutane: 1 CH, 3 CH3",SIS-CET 2e Table 7.5-2
4,1,C,CH2,0.2195,0.0,"Neopentane: 1 C, 4 CH3",SIS-CET 2e Table 7.5-2
5,2,CH2=CH,C=C,1.3454,1.176,"1-Hexene: 1 CH2=CH, 3 CH2, 1 CH3",SIS-CET 2e Table 7.5-2
6,2,CH=CH,C=C,1.1167,0.867,"2-Hexene: 1 CH=CH, 2 CH3, 2 CH2",SIS-CET 2e Table 7.5-2
7,2,CH2=C,C=C,1.1173,0.988,,SIS-CET 2e Table 7.5-2
8,2,CH=C,C=C,0.8886,0.676,,SIS-CET 2e Table 7.5-2
9,3,ACH,ACH,0.5313,0.4,Benzene: 6 ACH,SIS-CET 2e Table 7.5-2
10,3,AC,ACH,0.3652,0.12,,SIS-CET 2e Table 7.5-2
11,4,ACCH3,ACCH2,1.2663,0.968,"Toluene: 5 ACH, 1 ACCH3",SIS-CET 2e Table 7.5-2
12,4,ACCH2,ACCH2,1.0396,0.66,"Ethylbenzene: 5 ACH, 1 ACCH2, 1 CH3",SIS-CET 2e Table 7.5-2
13,4,ACCH,ACCH2,0.8121,0.348,,SIS-CET 2e Table 7.5-2
14,5,OH,OH,1.0,1.2,"n-Propanol: 1 OH, 1 CH3, 2 CH2",SIS-CET 2e Table 7.5-2
15,6,CH3OH,CH3OH,1.4311,1.432,Methanol,SIS-CET 2e Table 7.5-2
16,7,H2O,Water,0.92,1.4,Water,SIS-CET 2e Table 7.5-2
17,8,ACOH,ACOH,0.8952,0.68,"Phenol: 1 ACOH, 5 ACH",SIS-CET 2e Table 7.5-2
18,9,CH3CO,CH2CO,1.6724,1.488,"Dimethylketone: 1 CH3CO, 1 CH3",SIS-CET 2e Table 7.5-2
19,9,CH2CO,CH2CO,1.4457,1.18,"Diethylketone: 1 CH2CO, 2 CH3, 1 CH2",SIS-CET 2e Table 7.5-2
20,10,CHO,CHO,0.998,0.948,"Ethanal: 1 CHO, 1 CH3",SIS-CET 2e Table 7.5-2
21,11,CH3COO,CCOO,1.9031,1.728,"Methyl acetate: 1 CH3COO, 1 CH3",SIS-CET 2e Table 7.5-2
22,11,CH2COO,CCOO,1.6764,1.42,"Methyl propanate: 1 CH2COO, 2 CH3",SIS-CET 2e Table 7.5-2
23,12,HCOO,HCOO,1.242,1.188,"Methyl formate: 1 HCOO, 1 CH3",SIS-CET 2e Table 7.5-2
24,13,CH3O,CH2O,1.145,1.088,,SIS-CET 2e Table 7.5-2
25,13,CH2O,CH2O,0.9183,0.78,"Ethyl ether: 1 CH2O, 1 CH3, 1 CH2",SIS-CET 2e Table 7.5-2
26,13,CH-O,CH2O,0.6908,0.468,,SIS-CET 2e Table 7.5-2
27,13,FCH2O,CH2O,0.9183,1.1,"Tetrahydrofuran: 1 FCH2O, 3 CH2",SIS-CET 2e Table 7.5-2
28,14,CH3NH2,CNH2,1.5959,1.544,,SIS-CET 2e Table 7.5-2
29,14,CH2NH2,CNH2,1.3692,1.236,"Propyl amine: 1 CH2NH2, 1 CH3, 1 CH2",SIS-CET 2e Table 7.5-2
30,14,CHNH2,CNH2,1.1417,0.924,,SIS-CET 2e Table 7.5-2
31,15,CH3NH,CNH,1.4337,1.244,,SIS-CET 2e Table 7.5-2
32,15,CH2NH,CNH,1.207,0.936,"Diethyl amine: 1 CH2NH, 2 CH3, 1 CH2",SIS-CET 2e Table 7.5-2
33,15,CHNH,CNH,0.9795,0.624,,SIS-CET 2e Table 7.5-2
